Size, Seq, Par, Libc
670588, 0.137633, 0.078691, 0.144197
406583, 0.076798, 0.063528, 0.081357
717416, 0.142601, 0.069341, 0.152518
590456, 0.115690, 0.081042, 0.126210
405381, 0.079159, 0.077797, 0.082580
520386, 0.107721, 0.053143, 0.106757
81114, 0.014324, 0.061738, 0.014775
662334, 0.135342, 0.057622, 0.147280
979751, 0.206060, 0.092979, 0.220632
785804, 0.161726, 0.074810, 0.164070
2609, 0.000310, 0.023231, 0.000326
34274, 0.005602, 0.053712, 0.005681
705996, 0.149863, 0.089279, 0.154858
36928, 0.005763, 0.054103, 0.006206
24653, 0.003830, 0.036635, 0.005084
215833, 0.044090, 0.069299, 0.041630
903590, 0.187083, 0.090026, 0.200367
701070, 0.142903, 0.081803, 0.145103
411269, 0.081849, 0.058861, 0.084113
12558, 0.001826, 0.047860, 0.001967
408275, 0.079887, 0.085026, 0.087655
361724, 0.071665, 0.070896, 0.076182
873216, 0.179615, 0.090706, 0.191893
133930, 0.023848, 0.064018, 0.026194
215977, 0.043662, 0.072976, 0.041572
149357, 0.027821, 0.039481, 0.027714
551445, 0.108840, 0.064660, 0.117740
837170, 0.172575, 0.068516, 0.180890
997503, 0.208808, 0.087868, 0.214886
168983, 0.030902, 0.070879, 0.034393
425174, 0.089082, 0.066893, 0.084819
982662, 0.202006, 0.080362, 0.210783
631695, 0.131191, 0.074778, 0.131770
407896, 0.078393, 0.056371, 0.081232
761952, 0.153301, 0.078823, 0.160947
987862, 0.205554, 0.085423, 0.219045
755545, 0.152844, 0.077101, 0.171450
46616, 0.007507, 0.056916, 0.007821
569760, 0.120208, 0.065516, 0.118527
571021, 0.116817, 0.073733, 0.119133
148134, 0.026686, 0.052576, 0.029226
38682, 0.006334, 0.043363, 0.006495
911973, 0.193722, 0.078666, 0.200833
142948, 0.025360, 0.054011, 0.026866
125871, 0.023992, 0.057891, 0.023043
333044, 0.062923, 0.067593, 0.071880
747784, 0.159149, 0.071437, 0.157126
438269, 0.086920, 0.072097, 0.093259
661364, 0.134440, 0.070772, 0.138713
941246, 0.203814, 0.088069, 0.201148
299939, 0.056823, 0.055639, 0.062110
197054, 0.035957, 0.059266, 0.037528
224387, 0.041756, 0.066438, 0.047754
790262, 0.172462, 0.068491, 0.166897
180858, 0.032890, 0.035806, 0.034560
324452, 0.063311, 0.072435, 0.069911
637056, 0.133070, 0.059978, 0.141052
868045, 0.178991, 0.090157, 0.181590
270765, 0.051645, 0.051732, 0.058138
645921, 0.133121, 0.069857, 0.137239
264671, 0.051020, 0.085111, 0.052540
185671, 0.034237, 0.061302, 0.037032
810646, 0.171956, 0.081641, 0.171608
545797, 0.109061, 0.064386, 0.114149
139252, 0.025181, 0.075399, 0.026992
173798, 0.034245, 0.073689, 0.033429
859712, 0.181775, 0.088669, 0.189879
255858, 0.048060, 0.071760, 0.062405
321886, 0.207026, 0.058894, 0.358942
846325, 0.221064, 0.120344, 0.237862
808633, 0.242322, 0.110375, 0.284686
690660, 0.139904, 0.083753, 0.850142
645678, 0.198451, 0.097425, 0.371805
115256, 0.026977, 0.065848, 0.022558
960215, 0.225513, 0.090512, 0.414646
975280, 0.277046, 0.107443, 0.259977
118231, 0.028298, 0.065142, 0.026376
59254, 0.011229, 0.054979, 0.010410
258679, 0.056923, 0.075483, 0.058443
669106, 0.139431, 0.083531, 0.143517
872455, 0.178304, 0.086252, 0.185754
337317, 0.063543, 0.071078, 0.068238
65901, 0.011264, 0.049488, 0.011441
414147, 0.079582, 0.059422, 0.083102
499143, 0.099979, 0.063766, 0.104764
367440, 0.075342, 0.061053, 0.077718
888971, 0.182811, 0.105804, 0.193144
340495, 0.064855, 0.075477, 0.067678
785438, 0.164710, 0.086611, 0.171775
866905, 0.177320, 0.091659, 0.197502
790989, 0.163858, 0.070860, 0.173428
438605, 0.086275, 0.069079, 0.088914
893138, 0.190075, 0.077453, 0.192799
890491, 0.189788, 0.078946, 0.191260
866437, 0.184263, 0.091789, 0.194856
7679, 0.001032, 0.052997, 0.001199
810710, 0.178286, 0.092885, 0.181761
523226, 0.107938, 0.068044, 0.116036
774101, 0.166393, 0.083060, 0.166995
801334, 0.167912, 0.084362, 0.175888
472244, 0.093050, 0.060288, 0.098301
205871, 0.038205, 0.083875, 0.040570
356316, 0.069642, 0.071013, 0.074346
560880, 0.113791, 0.740224, 0.120755
701934, 0.147621, 0.074007, 0.151040
805931, 0.163215, 0.079596, 0.176922
69005, 0.011968, 0.053328, 0.012567
849284, 0.179116, 0.078061, 0.182612
887495, 0.185761, 0.097148, 0.191828
927442, 0.196803, 0.081024, 0.199855
837547, 0.183452, 0.082366, 0.183920
152324, 0.028235, 0.072037, 0.031659
907347, 0.195599, 0.077159, 0.198015
740410, 0.150099, 0.066667, 0.162019
586134, 0.119313, 0.070548, 0.127677
394925, 0.076753, 0.063460, 0.079661
423437, 0.083887, 0.081364, 0.086506
498725, 0.098207, 0.074611, 0.103796
858956, 0.212152, 0.099608, 0.210827
392441, 0.077814, 0.057171, 0.083331
23793, 0.003688, 0.047818, 0.003741
473546, 0.091533, 0.066607, 0.097351
566291, 0.115401, 0.076202, 0.124474
285576, 0.055432, 0.061568, 0.056917
13537, 0.001988, 0.071912, 0.002140
30088, 0.004911, 0.054150, 0.005086
360723, 0.076536, 0.073195, 0.074248
782279, 0.156214, 0.074091, 0.169566
669766, 0.132656, 0.067846, 0.148254
317791, 0.060371, 0.058650, 0.064291
542556, 0.109436, 0.067301, 0.113168
660631, 0.136804, 0.090719, 0.142638
569210, 0.120356, 0.049916, 0.122283
827008, 0.170342, 0.069150, 0.181325
252685, 0.046994, 0.070551, 0.051651
563646, 0.116872, 0.076385, 0.121422
555910, 0.112381, 0.069977, 0.114325
630050, 0.129200, 0.070513, 0.137216
703899, 0.141485, 0.069659, 0.151780
25439, 0.003854, 0.046035, 0.004195
375867, 0.078085, 0.064594, 0.081199
291871, 0.054417, 0.066066, 0.063518
110923, 0.021139, 0.058812, 0.021810
857758, 0.180213, 0.085825, 0.183552
461868, 0.090815, 0.053996, 0.095306
176936, 0.032589, 0.052003, 0.036115
77212, 0.014068, 0.062891, 0.014869
683005, 0.142745, 0.079666, 0.150723
675276, 0.138009, 0.066187, 0.147256
427252, 0.084221, 0.080188, 0.092000
343452, 0.067296, 0.066321, 0.070922
366784, 0.069094, 0.073968, 0.073944
809109, 0.169998, 0.073344, 0.172327
995063, 0.203323, 0.079791, 0.220636
596737, 0.121283, 0.070601, 0.127388
800039, 0.161063, 0.072776, 0.178157
476776, 0.094377, 0.063959, 0.097495
408659, 0.082554, 0.074227, 0.089789
705819, 0.144865, 0.077994, 0.145680
316982, 0.061021, 0.073238, 0.068688
17727, 0.002550, 0.053720, 0.002849
662601, 0.140595, 0.083654, 0.146286
549898, 0.110876, 0.057769, 0.113120
959531, 0.199839, 0.083228, 0.207629
603749, 0.121822, 0.067959, 0.124803
861693, 0.177886, 0.076759, 0.190558
923451, 0.190483, 0.073481, 0.197736
699701, 0.144938, 0.073719, 0.153981
169163, 0.032032, 0.059329, 0.031959
470363, 0.091458, 0.048850, 0.101650
557865, 0.110711, 0.047385, 0.119442
255541, 0.048436, 0.083394, 0.056198
80948, 0.014231, 0.057946, 0.014428
132258, 0.022949, 0.059964, 0.026936
914118, 0.189679, 0.092905, 0.202745
694163, 0.143096, 0.083085, 0.146804
310163, 0.059389, 0.066103, 0.066636
2417, 0.000280, 0.025900, 0.000302
829218, 0.174168, 0.085477, 0.184186
752448, 0.156173, 0.071718, 0.159728
391038, 0.075010, 0.064355, 0.094046
474174, 0.096260, 0.056296, 0.101168
605537, 0.121856, 0.076241, 0.125056
890977, 0.183434, 0.073320, 0.195890
244109, 0.046262, 0.051486, 0.047059
377280, 0.072063, 0.072148, 0.080650
121850, 0.021114, 0.053567, 0.022587
759799, 0.153052, 0.062536, 0.160372
425385, 0.086418, 0.060914, 0.085526
389312, 0.079996, 0.054164, 0.083884
662118, 0.132533, 0.067010, 0.138401
87730, 0.015213, 0.043243, 0.015549
849960, 0.173128, 0.085792, 0.185521
920707, 0.188052, 0.086220, 0.196948
973894, 0.202514, 0.083320, 0.207177
168969, 0.030287, 0.069113, 0.032191
289342, 0.057282, 0.076733, 0.057318
946628, 0.200378, 0.069284, 0.203742
438366, 0.085607, 0.064530, 0.088597
831227, 0.175914, 0.077380, 0.175028
304864, 0.057570, 0.092238, 0.067034
418365, 0.083549, 0.083127, 0.088135
498009, 0.099260, 0.057067, 0.101454
571788, 0.113822, 0.066530, 0.123034
212892, 0.039705, 0.048899, 0.041343
149523, 0.026934, 0.038235, 0.027842
327658, 0.063268, 0.052250, 0.073038
470387, 0.093726, 0.058827, 0.103816
108532, 0.019201, 0.062666, 0.019918
317375, 0.062595, 0.064534, 0.063385
701572, 0.147000, 0.068331, 0.152312
691694, 0.138310, 0.060634, 0.148446
291327, 0.055488, 0.073627, 0.058338
731473, 0.146861, 0.076866, 0.163715
228996, 0.042379, 0.051518, 0.044464
361836, 0.070677, 0.074899, 0.076054
107244, 0.020786, 0.066400, 0.020836
400625, 0.081595, 0.040361, 0.079900
952093, 0.199793, 0.081332, 0.205851
652509, 0.131197, 0.065297, 0.140741
74530, 0.012380, 0.070766, 0.013761
955680, 0.212546, 0.083646, 0.207917
599689, 0.117718, 0.080968, 0.131437
167058, 0.029713, 0.074005, 0.034072
740102, 0.151697, 0.083995, 0.156092
24457, 0.003717, 0.048908, 0.003904
396717, 0.077000, 0.073026, 0.080494
660561, 0.130855, 0.070729, 0.142109
307883, 0.057611, 0.060684, 0.065865
838067, 0.175246, 0.073571, 0.192541
531892, 0.107172, 0.065546, 0.117834
574324, 0.113090, 0.103146, 0.127797
195772, 0.036463, 0.077793, 0.040619
860015, 0.188035, 0.093743, 0.198898
875118, 0.192591, 0.086768, 0.196028
231598, 0.043715, 0.046873, 0.045571
960336, 0.202032, 0.106883, 0.214585
19885, 0.003180, 0.084799, 0.003333
608797, 0.146677, 0.072819, 0.135490
855262, 0.178771, 0.095314, 0.185730
501691, 0.101367, 0.096862, 0.108155
323242, 0.063566, 0.055940, 0.064149
995770, 0.205528, 0.092282, 0.225055
228379, 0.043526, 0.076055, 0.045297
567593, 0.115482, 0.085192, 0.119829
392038, 0.076699, 0.058952, 0.082775
543575, 0.106648, 0.063579, 0.117022
449181, 0.088055, 0.064871, 0.091364
966864, 0.208971, 0.095352, 0.214933
457439, 0.088658, 0.076434, 0.097321
808315, 0.174041, 0.094369, 0.191269
31429, 0.005208, 0.079410, 0.005320
761081, 0.160884, 0.075891, 0.161440
111021, 0.019283, 0.053427, 0.020932
484577, 0.097719, 0.076600, 0.098714
654249, 0.130497, 0.083458, 0.141584
364314, 0.070144, 0.068756, 0.074251
951235, 0.199171, 0.088196, 0.318750
154556, 0.058841, 0.063051, 0.095000
812032, 0.827628, 0.099179, 0.937085
915608, 0.554425, 0.099030, 0.234658
257929, 0.049424, 0.080037, 0.052298
830404, 0.170771, 0.086409, 0.184422
538530, 0.108490, 0.067699, 0.116221
980902, 0.206199, 0.078791, 0.216521
